AirlineCarrierCode,PassengerFlightNumber,PassengerRecordLocator,CutomerId,PassengerBookingId,FirstName,LastName,FlightOriginLocalDate,FlightOriginStnCode,FlightDestStnCode,ConnectionStnCode,ConnectionTime
MU,AB6,IUFG22,9.16326E+11,5.85644E+15,Wilfred,Wehner,8/21/16,BOM,PEK,HND,76
CZ,747,EDJF05,4.1513E+11,9.79657E+15,Vannesa,Vandervort,7/17/16,BOM,SEA,CDG,174
UX,739,CGYR30,1.61015E+11,5.32719E+15,Freddy,Ryan,12/22/15,PEK,DEL,BOM,83
GA,CRK,JQEG57,4.17579E+11,8.88174E+15,Adina,Lang,8/6/16,DEL,GIG,CDG,133
SU,73W,MPKO10,2579619458,2.15317E+14,Isis,Ullrich,12/6/15,SFO,MXP,HND,166
MU,319,APBF58,5.48329E+11,5.49188E+15,Marry,Becker,4/16/16,PEK,HNL,BOM,164
DL,SF3,AGXW18,5.77807E+11,3.17325E+15,Dante,Kerluke,9/11/15,SFO,GIG,MSP,56
CZ,321,PNJR81,9.74139E+11,3.44156E+15,Milan,Murphy,7/21/16,SFO,GIG,LAX,76
KL,SF3,OAGL78,2.82612E+11,5.48832E+15,Nell,Murray,4/23/16,PEK,GIG,ATL,92
GA,330,JVKH86,8.99554E+11,2.24845E+15,Celinda,Hirthe,6/27/16,DEL,SEA,ATL,162
OK,388,EOJD67,4.12E+11,6.52292E+15,Rikki,Kertzmann,11/18/15,SFO,MXP,HND,67
CZ,77W,QEXZ54,3.34432E+11,2.63779E+15,Jarvis,Yundt,6/9/16,HNL,PEK,DTW,150
KE,M90,ZXSH54,9.0619E+11,8.21319E+15,Caryn,Murray,9/21/15,SEA,SFO,MSP,62
AF,733,AYGX61,9.32972E+11,4.48432E+15,Blanch,Smitham,3/4/16,BOM,MXP,DTW,72
AM,73J,DGHI54,9.91584E+11,3.76185E+15,Jewel,Barrows,3/8/16,MUC,MXP,ATL,70
KE,333,SQYO99,2.03136E+11,8.43303E+15,Bunny,Paucek,3/19/16,MUC,HNL,HND,160
AZ,73G,RJZI82,3.03602E+11,6.14133E+15,Marco,Satterfield,10/11/15,HNL,BOM,MSP,108
CZ,321,PIKQ95,7.18782E+11,2.08098E+15,Bryce,Hamill,2/9/16,DEL,BOM,AMS,54
GA,CR9,CKVW36,71781164027,7.50872E+15,Eugene,Kohler,7/8/16,PEK,DEL,BOM,60
VN,CR9,QHOW98,2.30752E+11,7.32056E+15,Rosendo,Turner,9/16/16,GIG,SFO,LHR,131
AM,735,YQMZ02,7.23637E+11,8.61633E+15,Jacquelyne,Heidenreich,12/24/15,PEK,BOM,LAX,176
AF,333,HNMZ13,4.39221E+11,7.14979E+15,Elmer,Watsica,1/27/16,BOM,MXP,LHR,89
UX,737,PZMY35,3.7738E+11,4.15542E+15,Corliss,Haag,8/23/16,MXP,HNL,LAX,107
CZ,EM2,FSLI30,2.9427E+11,8.33481E+15,Otis,Veum,3/24/16,SFO,GIG,ATL,148
RO,330,ERCK46,83661582016,3.67876E+15,Janee,Conroy,2/9/16,MUC,DEL,MSP,81
RO,343,XEWQ88,2.5107E+11,1.70537E+15,Petronila,Gutmann,3/7/16,SEA,PEK,ATL,60
RO,313,TRGS59,4.70394E+11,8.38143E+15,Hipolito,Kunze,6/15/16,PEK,PEK,MSP,110
GA,75W,REJF55,8.27475E+11,4.79213E+15,Ryan,Daniel,9/26/16,BOM,GIG,ATL,145
AZ,CRK,GXJR84,20296844901,4.98872E+15,Aron,Koch,9/2/16,MUC,MXP,AMS,125
MU,CR9,FMGR92,2.19855E+11,7.82137E+15,Yvette,Bruen,9/13/15,PEK,DEL,DTW,63
VN,747,UVRE84,7.88419E+11,2.9364E+15,Sulema,Ortiz,4/8/16,SFO,SEA,BOM,99
DL,777,KQIN94,5.32565E+11,9.91655E+15,Hayden,Champlin,7/15/16,PEK,DXB,JFK,92
CZ,739,JBQW35,9.25416E+11,4.85788E+15,Rosamaria,Luettgen,2/12/16,GIG,DXB,ATL,54
CZ,SF3,INAE15,9.79565E+11,8.46606E+15,Walker,Rempel,8/23/16,HNL,DEL,DTW,138
OK,M90,LGDM00,1.46776E+11,5.28612E+15,Wesley,Breitenberg,7/12/16,BOM,MXP,DTW,105
MU,343,PNMO10,1.09764E+11,1.01305E+14,Adelina,Cole,2/6/16,SFO,GIG,LAX,164
MU,767,EKPN01,5.63638E+11,9.14152E+15,Verlie,Miller,6/24/16,SEA,DXB,MSP,164
UX,73J,KZRD98,6.74472E+11,8.47315E+15,Modesta,Hammes,11/5/15,MUC,MXP,ATL,136
KL,E70,EXNK71,7.97712E+11,9.2597E+15,Felton,Ratke,6/23/16,MXP,MUC,BOM,180
DL,313,VONW17,1.1964E+11,1.10832E+15,Mi,Dibbert,7/2/16,DXB,MXP,MSP,123
AM,767,DKGU36,5.48247E+11,1.4406E+15,Don,Feeney,6/26/16,SEA,MUC,AMS,150
KL,73W,WTAO04,7.36097E+11,7.31571E+14,Dante,Murphy,11/22/15,BOM,DXB,JFK,108
AM,M90,ASIC60,7.39099E+11,9.29919E+15,Ahmed,Wyman,1/21/16,DEL,SEA,LAX,100
KQ,346,GZIC41,9.56712E+11,2.3037E+15,Chi,Aimonetti,8/17/16,BOM,GIG,CDG,80
ME,343,WSJO30,5.30674E+11,3.06555E+15,Larry,Altenwerth,7/18/16,HNL,DXB,ATL,87
RO,739,MLWB91,3.51169E+11,3.90558E+15,Evelia,Runolfsdottir,9/11/16,MUC,MXP,DTW,142
KE,346,BKSR79,7.72807E+11,9.14957E+15,Sam,Cremin,11/20/15,HNL,PEK,HND,49
OK,343,JMDV13,8.38354E+11,9.37195E+15,Jarvis,Cronin,8/31/16,GIG,PEK,MSP,80
OK,777,NDHG95,7.34103E+11,8.44427E+15,Ericka,Tillman,7/31/16,BOM,GIG,LHR,80
VN,753,FIRX44,2.01741E+11,5.58632E+15,Lilla,Considine,8/6/16,MXP,HNL,MSP,115
CZ,CR9,SYFP85,64149923932,8.95602E+15,Ahmed,Monahan,3/1/16,SEA,GIG,JFK,178
ME,73W,VDKL64,8.79024E+11,5.75233E+15,Necole,Becker,7/23/16,SFO,MUC,BOM,162
MU,343,ELWB37,3.89967E+11,5.03002E+15,Saundra,Grady,12/7/15,GIG,DXB,CDG,162
RO,EM2,HBZY53,1.04932E+11,6.65946E+15,Gwenn,Nienow,8/10/16,HNL,SFO,LHR,51
RO,753,KHNW43,2.51206E+11,2.87121E+14,Stanford,Wolff,7/16/16,GIG,SEA,AMS,112
OK,SF3,PCZO79,5.60825E+11,9.4849E+15,Jessenia,Greenfelder,5/20/16,DEL,BOM,BOM,126
OK,F50,WRFM06,1.6698E+11,8.78076E+15,Stanford,Johns,4/14/16,GIG,PEK,LAX,106
VN,388,TECX08,1.67476E+11,5.20842E+15,Monty,Rohan,8/28/16,GIG,MXP,DTW,51
KE,75W,WSJD22,8.83104E+11,2.48983E+15,Gwenda,Larson,7/28/16,HNL,MUC,LAX,119
AZ,100,JPQK66,2.85292E+11,1.7427E+14,Loretta,Grady,2/17/16,SEA,SFO,LAX,129
KE,753,GDBI90,3.77729E+11,7.78416E+15,Gil,Kutch,1/16/16,BOM,MXP,LHR,119
CI,737,BWOE42,8.18559E+11,4.22471E+15,Shawn,Dietrich,7/2/16,DEL,SFO,ATL,57
ME,313,MJLX84,9.28084E+11,5.82533E+15,Columbus,Mueller,12/30/15,SFO,BOM,MSP,58
AF,763,GRPT35,1.42333E+11,7.59524E+15,Andrew,Mayert,12/10/15,MUC,DXB,MSP,162
ME,321,HXQG80,1.40481E+11,2.16859E+15,Stacey,Ullrich,11/12/15,MXP,SEA,CDG,52
ME,M11,XEDV39,2.71479E+11,8.33199E+15,Mikel,Yost,1/28/16,DEL,SEA,AMS,79
VN,737,IDJY31,2.19088E+11,8.37019E+15,Eugene,Mueller,1/7/16,DXB,BOM,AMS,138
MU,747,DINC05,5.25603E+11,8.15101E+14,Cleo,Durgan,3/14/16,MXP,HNL,AMS,123
AZ,E90,YMRL50,5.42501E+11,4.37771E+15,Hans,Jacobs,7/10/16,GIG,MUC,AMS,109
AF,333,MWRN13,9.97836E+11,4.94395E+15,Elenore,Boyer,12/23/15,HNL,BOM,LAX,52
MU,788,GCHZ78,4.46399E+11,7.98139E+15,Alison,Satterfield,3/19/16,BOM,DEL,CDG,117
KQ,EQV,FSGM20,1230994235,8.73767E+15,Jene,Bauch,11/19/15,SEA,GIG,LAX,77
AF,753,EYPV43,2.37933E+11,8.19264E+15,Ammie,Durgan,4/21/16,MXP,DEL,LHR,143
AZ,75W,TWUQ23,8.97949E+11,7.70069E+15,Wilburn,Bechtelar,12/4/15,DEL,GIG,JFK,120
KL,388,DUYI87,8.2135E+11,1.02467E+14,Ruthanne,Moen,4/24/16,HNL,GIG,CDG,55
VN,74M,GEHP11,7.43219E+11,4.73307E+15,Mendy,Graham,5/20/16,MUC,BOM,BOM,46
RO,73G,ELNI41,6.49976E+11,8.95404E+15,Theron,Beahan,9/15/16,DXB,GIG,LHR,113
AF,M11,BAUF65,6.22089E+11,9.5283E+15,Isaias,Blick,5/15/16,PEK,MXP,CDG,149
CZ,733,HBXN64,1.02026E+11,6.19172E+15,Fae,Stracke,1/29/16,BOM,DXB,CDG,171
SU,75W,MCER95,1.13928E+11,4.16911E+15,Nguyet,Bergnaum,9/15/15,DEL,BOM,HND,63
AM,788,ESXU45,6.49301E+11,8.24626E+15,Cedrick,Marvin,9/6/16,SFO,BOM,DTW,180
AM,CR9,ZXSG39,7.6296E+11,3.31032E+15,Alexis,Hansen,10/27/15,SFO,DEL,BOM,100
CZ,747,CULE65,5.76816E+11,2.27559E+14,Penney,Feeney,5/22/16,HNL,MXP,LHR,120
RO,ATR,NXIZ56,2.6969E+11,5.12444E+15,Blake,Ankunding,4/3/16,GIG,DEL,LAX,56
SU,EM2,VHKY19,6.01747E+11,5.42291E+14,Edyth,Prohaska,7/19/16,SEA,GIG,ATL,154
DL,AB6,DASZ86,1.36034E+11,7.89687E+15,Kenton,Schmeler,7/28/16,SEA,MXP,DTW,137
OK,777,LSTR44,66051137328,7.13404E+15,Dorian,Weissnat,6/22/16,PEK,SEA,DTW,118
DL,753,YDKW59,5.76842E+11,2.00622E+15,Marvis,Sauer,12/28/15,PEK,GIG,CDG,121
GA,M90,TNOL44,37604049450,9.5368E+15,Miranda,Mills,2/11/16,SFO,GIG,LHR,101
AM,73J,GEQM78,8.91984E+11,9.5638E+15,Charlsie,Smith,3/21/16,MUC,DXB,MSP,103
AZ,E70,AHLF06,5.11047E+11,6.77822E+15,Kathie,Lesch,5/22/16,DXB,SFO,JFK,100
KE,737,YUFE09,5.32946E+11,9.50043E+15,Darnell,Purdy,12/31/15,SFO,MXP,JFK,136
VN,739,BEOW40,2.01349E+11,2.15589E+15,Theodore,Feeney,3/6/16,SFO,PEK,JFK,179
AF,SF3,HKNU60,3.70522E+11,5.02799E+15,Lester,Spinka,9/20/16,PEK,DXB,CDG,163
ME,EQV,PSQR78,6.4758E+11,3.05582E+15,Hee,Ferry,4/8/16,GIG,BOM,JFK,146
VN,77W,LMDN51,5.27278E+11,5.91059E+15,Branden,Bernier,9/22/16,HNL,MXP,HND,99
VN,733,CGEA30,6.66831E+11,6.70568E+15,Kevin,Cronin,9/17/16,MUC,DXB,JFK,125
GA,333,JYMH60,3.54015E+11,3.36389E+15,Timothy,Beahan,2/23/16,DXB,SFO,CDG,151
KL,747,YGKC14,1.79205E+11,8.17142E+14,Jerrell,Ziemann,10/17/15,MUC,DXB,HND,78
AZ,737,MZQK08,4.09871E+11,5.87841E+15,Neville,Hoeger,12/19/15,SEA,SEA,AMS,86
DL,767,YFEI04,7.12748E+11,9.97524E+15,Grayce,Gleichner,12/9/15,MUC,DXB,ATL,124
KL,ER4,KYRS99,2.41665E+11,8.88578E+15,Billy,Roob,4/8/16,GIG,DXB,CDG,179
RO,EM2,AYFX72,8.98607E+11,2.20383E+15,Cherry,Schimmel,9/12/15,GIG,SFO,LHR,156
OK,788,SYUI35,2.51357E+11,3.76003E+14,Mario,Reilly,7/2/16,BOM,MUC,HND,125
AM,CR9,NHGS86,4.4157E+11,7.2088E+14,Sibyl,Cassin,3/9/16,DEL,DXB,BOM,69
GA,CR2,NEVU08,1.7818E+11,4.85829E+15,Lee,Thiel,5/1/16,DXB,BOM,BOM,145
UX,EM2,ZATD73,5.61402E+11,1.98548E+15,Pierre,Gibson,10/28/15,MUC,SFO,AMS,160
KQ,737,ZIVA74,6.01129E+11,6.9528E+13,Krista,Feeney,6/20/16,MUC,MUC,LHR,102
MU,313,IXVG74,6.4291E+11,6.82828E+15,Jill,Botsford,9/10/15,SEA,MUC,JFK,51
GA,AB6,SHFV62,32454597597,8.59142E+15,Diann,Hackett,1/21/16,MUC,DXB,ATL,99
GA,M90,FSCK71,3.21804E+11,2.55994E+13,Joi,Donnelly,8/5/16,SEA,PEK,BOM,69
KE,74M,DXCK16,6.34579E+11,6.85306E+15,Jacques,Koch,9/11/15,DXB,SFO,BOM,122
GA,388,FXPA02,3.82044E+11,3.98595E+15,Orval,Effertz,5/25/16,GIG,HNL,AMS,172
KE,333,BIUO04,44798160203,3.60167E+15,Keenan,Krajcik,4/4/16,BOM,SFO,LAX,50
KL,333,MFJE53,1.96402E+11,9.95251E+15,Hugo,Leannon,2/18/16,PEK,GIG,JFK,169
AF,319,YRBP85,7.55358E+11,2.22322E+15,Mohammad,Douglas,3/23/16,BOM,SEA,MSP,101
KL,763,UOQK61,7.89032E+11,9.96595E+15,Deshawn,Cronin,10/1/15,GIG,DEL,HND,117
AZ,73W,EIJP02,3321233305,5.17772E+15,Dagny,Fritsch,3/15/16,DXB,MUC,LHR,55
MU,737,WATI21,8.73914E+11,3.3043E+15,Lauren,Klocko,12/5/15,SFO,GIG,LAX,162
MU,772,KQJU81,7.12108E+11,3.00463E+15,Kristofer,Zieme,2/8/16,PEK,DXB,MSP,117
ME,CRK,FGYP27,7.3976E+11,7.7701E+15,Shayne,Wintheiser,8/1/16,BOM,DXB,HND,104
MU,EQV,TEHA47,9.60784E+11,1.24199E+15,Colleen,Greenholt,9/11/16,MXP,PEK,LAX,114
AF,F50,UGLC63,9.74565E+11,4.24393E+15,Eun,Batz,2/7/16,GIG,GIG,JFK,142
OK,M90,PFHU19,3.63225E+11,1.6858E+15,Kellie,Macejkovic,12/5/15,SEA,MXP,ATL,54
SU,330,VSMN44,7.16177E+11,9.41205E+15,Scottie,Boehm,1/30/16,GIG,BOM,CDG,67
RO,772,QHDI18,9.96912E+11,9.02846E+15,Jaqueline,Fisher,10/3/15,MXP,DEL,AMS,172
AZ,EM2,UGSM13,61610074753,9.0437E+15,Rosaura,Harvey,12/10/15,SEA,SFO,AMS,122
VN,346,JCZV89,7.4581E+11,7.82081E+15,Elli,Beahan,8/29/16,SEA,SFO,MSP,93
AM,EM2,OXZY67,4.89083E+11,5.52323E+15,Tien,Mueller,4/4/16,GIG,DEL,CDG,50
OK,739,JOFQ56,2.68379E+11,4.36603E+14,Matilda,Pacocha,8/18/16,MXP,GIG,LHR,163
KE,F50,KRGF33,1.61876E+11,4.67311E+15,Samuel,Mann,11/2/15,PEK,MUC,AMS,154
VN,73G,CMNY31,4.0529E+11,4.92827E+15,Gaylord,Hilll,1/25/16,MXP,DXB,DTW,105
SU,F50,HJYA13,6.81421E+11,7.16271E+14,Monika,Shanahan,3/31/16,SEA,DXB,LAX,118
VN,CR2,PVMK19,69609859367,6.39439E+15,Maragaret,Ernser,9/14/15,MXP,BOM,LAX,137
MU,75W,NGLU91,1.8835E+11,5.00674E+15,Marci,Crona,11/12/15,SEA,MUC,DTW,127
KE,753,VBNM81,3.67012E+11,5.63993E+14,Brant,Ullrich,3/13/16,BOM,GIG,DTW,71
OK,330,AMNI43,9.18236E+11,3.22671E+15,Sammy,Feest,5/6/16,MUC,SEA,BOM,74
CZ,321,SRVE61,6.68911E+11,6.67582E+14,Art,Sauer,9/20/15,SEA,PEK,CDG,165
KQ,EQV,UZKS82,9.50445E+11,3.69152E+15,Mauro,Lang,8/20/16,HNL,SFO,ATL,120
SU,M11,BXQZ17,6.74945E+11,3.04966E+15,Shantelle,Abernathy,7/8/16,SEA,MUC,CDG,83
AF,753,FOLJ74,6.99977E+11,1.4296E+15,Waneta,Bahringer,9/14/15,MUC,BOM,BOM,125
UX,73G,MKNJ84,5.89156E+11,3.18098E+15,Selina,McCullough,4/3/16,DEL,BOM,BOM,89
KE,747,EQMW19,2.4097E+11,5.52259E+15,Julian,Beier,4/28/16,GIG,DXB,BOM,86
DL,346,SBHK16,9.07702E+11,9.31544E+15,Kasey,Moen,10/5/15,BOM,PEK,AMS,58
ME,ER4,XHAN97,4.63628E+11,4.05821E+15,Ira,Wehner,2/9/16,GIG,DXB,LHR,91
KE,EM2,AXKZ18,2.76848E+11,3.09355E+14,Lloyd,Roberts,1/8/16,PEK,MUC,BOM,73
AF,CR9,ZMUH12,2.0704E+11,3.81832E+15,Shiloh,Hermann,3/25/16,PEK,GIG,HND,56
AM,73G,IWRQ51,8.14296E+11,2.65006E+15,Albert,Quigley,3/27/16,PEK,MXP,LHR,114
ME,319,ZCWI65,3.67138E+11,8.73347E+15,Melia,McGlynn,3/20/16,DEL,BOM,DTW,73
OK,343,HOXG70,6.09733E+11,1.15156E+15,Dale,Eichmann,8/28/16,MXP,DEL,HND,48
DL,73W,YEPC62,4.6134E+11,1.97438E+15,Elise,Johns,7/14/16,SEA,SFO,ATL,52
UX,753,IXCF96,6.78093E+11,1.61135E+15,Cory,Cruickshank,12/5/15,PEK,BOM,DTW,77
CI,321,QUAV93,5.30938E+11,5.06556E+15,Burt,Leannon,12/16/15,BOM,DXB,LAX,108
AF,739,ANTU91,3.53783E+11,3.28634E+13,Noah,Brekke,2/6/16,SFO,MUC,MSP,123
AF,346,CQRM17,4.82797E+11,7.53339E+15,Joella,Marks,9/24/16,BOM,MUC,AMS,149
CZ,75W,EWZO43,6.60389E+11,8.14982E+15,Steve,Mante,12/20/15,DXB,MUC,ATL,94
OK,77W,DAUJ04,9.67293E+11,6.77945E+15,Margert,Macejkovic,2/2/16,GIG,MUC,AMS,68
KL,CRK,JYWT36,3.1069E+11,2.30256E+15,Numbers,Mohr,8/3/16,DXB,DXB,DTW,156
KE,EM2,JHDW37,77471301284,8.64272E+15,Garry,Murphy,2/3/16,SFO,SEA,LAX,155
MU,733,NACT05,3.17079E+11,9.77823E+15,Rosario,Ryan,8/26/16,SEA,MXP,MSP,116
RO,AB6,GHYF54,97320259673,7.31383E+15,Armando,Heller,2/4/16,DXB,SFO,DTW,165
KQ,73J,NGJQ09,7.18401E+11,5.17878E+15,Ngan,Weissnat,9/23/16,HNL,HNL,LAX,65
KE,330,ODQA48,4.2341E+11,7.82393E+15,Loren,Johns,3/13/16,DXB,SFO,CDG,111
VN,73W,WSAP41,2.19861E+11,6.47077E+15,Gregory,Willms,7/9/16,MXP,SFO,LAX,77
MU,772,ORCH10,6.78152E+11,1.0508E+15,Jesus,Mante,6/12/16,HNL,GIG,AMS,70
KQ,E90,JHBA46,1.48161E+11,2.53999E+15,Sanda,Nikolaus,6/11/16,BOM,SFO,MSP,104
AZ,E90,QHNP09,4.31514E+11,3.80955E+15,Brain,Lowe,2/29/16,BOM,PEK,JFK,150
SU,73W,WYAJ17,90219177116,2.13222E+15,Victoria,Volkman,8/9/16,BOM,PEK,JFK,138
AZ,E90,DYJI83,6.01888E+11,4.8034E+15,Arturo,Abernathy,2/11/16,SEA,HNL,DTW,79
UX,739,SFOX73,7.80906E+11,3.70924E+14,Kent,Hilpert,7/15/16,BOM,DXB,JFK,80
KE,CRK,ODSY11,6.83333E+11,4.83929E+15,Tien,Effertz,5/20/16,DXB,SFO,MSP,84
CI,735,VRBZ19,9.70089E+11,7.56299E+15,Nilda,Medhurst,12/28/15,HNL,PEK,DTW,96
KE,388,VYPE30,30906283125,4.9681E+15,Miguel,Hansen,9/11/15,BOM,PEK,DTW,83
CZ,AT5,TBNR40,2.3321E+11,9.37344E+15,Cassey,Rutherford,9/8/16,MXP,SFO,MSP,80
AM,ER4,FPZY84,5.51412E+11,3.36015E+15,Horace,Barton,11/8/15,MUC,DXB,MSP,138
AZ,74M,EQJW27,4.30848E+11,5.26047E+15,Maia,Simonis,11/3/15,DEL,SEA,CDG,64
AZ,733,JHEW35,8.46476E+11,3.83838E+15,Tyrone,Greenholt,4/2/16,DEL,BOM,LAX,146
KE,EM2,BWEJ30,6.94413E+11,8.50663E+15,Natalie,Gutmann,2/1/16,PEK,MXP,DTW,159
KL,321,ZSRQ45,1.2149E+11,2.44519E+15,Whitney,Haley,3/8/16,SEA,SEA,HND,62
MU,CRK,JQFD30,1.41109E+11,8.91989E+15,Virgilio,Moore,8/30/16,MUC,HNL,BOM,154
MU,737,EATB44,8.49517E+11,2.41328E+15,Benton,Schamberger,6/14/16,SFO,DEL,ATL,147
UX,333,KNYO07,2.57045E+11,6.22416E+15,Reed,Lang,4/24/16,SEA,SEA,JFK,62
RO,767,JZIY07,1.91902E+11,2.95468E+15,Jason,Robel,8/15/16,PEK,DXB,LAX,149
MU,333,VSLO01,4.44208E+11,1.2463E+15,Sylvie,Mertz,1/5/16,GIG,GIG,DTW,76
KL,321,AJLD98,8.6456E+11,3.51118E+15,Maria,Leannon,1/8/16,DXB,BOM,BOM,109
DL,75W,CPFW27,2.0504E+11,5.0411E+15,Stephaine,Yost,4/3/16,PEK,GIG,LAX,74
SU,321,DVKX18,4.87651E+11,4.03084E+15,Arnoldo,Moen,5/11/16,MUC,MXP,ATL,149
MU,F50,HFEV06,2.7907E+11,9.54612E+15,Fausto,Nitzsche,12/1/15,DEL,GIG,LAX,83
GA,AB6,GPNC93,2.69692E+11,4.20875E+15,Filiberto,Welch,12/31/15,BOM,SFO,HND,89
GA,777,LUHM01,1.38521E+11,2.31494E+15,Edwin,Wisozk,9/24/16,DEL,PEK,MSP,128
VN,388,RQUZ88,7.484E+11,4.2456E+15,Emerson,Mosciski,6/7/16,DXB,HNL,JFK,105
RO,772,LCTX59,2.98944E+11,3.4501E+13,Juliana,Marquardt,1/4/16,GIG,HNL,BOM,126
SU,313,VGEU78,7.29734E+11,7.94627E+15,Leonard,O'Conner,3/19/16,DEL,SEA,LAX,58
MU,SF3,DUEV95,3.0741E+11,1.98271E+15,Louis,Howe,4/10/16,DEL,MXP,DTW,55
CI,73W,QWOK44,1.85735E+11,4.25407E+15,Donnie,Ledner,9/23/15,DXB,HNL,CDG,65
SU,AT5,LRNT73,5.58864E+11,4.56651E+15,Mia,Bergstrom,2/23/16,SFO,PEK,CDG,67
OK,330,UGAR91,1.8896E+11,6.19942E+13,Na,Lemke,9/17/16,PEK,BOM,JFK,93
MU,EM2,PBIM79,4.67692E+11,7.10141E+15,Morton,Rolfson,12/29/15,PEK,DEL,MSP,146
OK,753,CGMI80,9.73665E+11,6.90179E+15,Thi,Mertz,6/24/16,GIG,BOM,AMS,74
KQ,73W,HXWT97,1.39849E+11,9.05949E+15,Latoya,Orn,2/23/16,PEK,MXP,CDG,158
RO,SF3,UFNC53,1.41826E+11,5.29228E+15,Omer,Gottlieb,9/3/16,PEK,BOM,ATL,105
ME,M90,DRZQ74,2.261E+11,7.1521E+15,Dayna,Kovacek,2/6/16,DXB,SEA,DTW,165
CI,763,TMBV86,72456220077,1.75167E+15,Ashley,Thompson,11/30/15,PEK,MXP,JFK,144
ME,CR9,YLDW93,2.53876E+11,2.55152E+15,Sterling,Durgan,2/9/16,HNL,BOM,LHR,95
AF,E70,LXDR12,2568649261,9.85658E+15,Cathrine,Kris,3/14/16,SFO,SFO,HND,80
MU,330,OHEG37,5.62999E+11,1.28852E+15,Nathanial,Rutherford,6/5/16,HNL,BOM,LHR,126
VN,319,AHTE21,7.26595E+11,5.43007E+15,Demetrice,Raynor,7/16/16,PEK,DXB,JFK,99
ME,CRK,TSVX63,6.50276E+11,4.45464E+15,Elmer,Stoltenberg,10/2/15,BOM,PEK,LHR,130
CZ,CR2,EILZ55,5.98469E+11,9.60065E+15,Diana,Kerluke,10/18/15,BOM,SEA,DTW,110
AM,788,QEIU12,9.6128E+11,7.44666E+15,Elina,Rohan,11/17/15,BOM,MXP,BOM,171
SU,73W,VERW29,6.41531E+11,6.59417E+15,Bernadette,Hyatt,8/2/16,MUC,PEK,HND,123
SU,EQV,DAIO55,4.1122E+11,4.79995E+15,Zack,Jakubowski,9/11/15,SEA,DXB,HND,170
UX,CR9,LQNM44,3.63975E+11,2.18443E+15,Zina,Schamberger,8/18/16,SEA,SFO,LAX,90
AZ,788,YHJS86,6.3384E+11,9.73298E+15,Georgianna,Lindgren,6/14/16,DEL,DXB,BOM,55
AM,346,TXJZ93,9.52158E+11,6.4138E+15,Bulah,Buckridge,11/25/15,PEK,DEL,JFK,129
AM,333,UHPO09,7.24233E+11,7.33965E+15,Carlton,Corkery,10/14/15,MUC,BOM,AMS,56
AM,EM2,ATQL52,6.22243E+11,4.55697E+15,Sebastian,Murazik,9/15/16,MXP,GIG,LHR,179
ME,CR9,QJMW61,9.70199E+11,1.46667E+15,Bruno,Beatty,7/5/16,DXB,PEK,CDG,150
AM,M90,ETOA01,7.54776E+11,4.71973E+15,Priscilla,Olson,3/30/16,DXB,SEA,AMS,82
AM,777,OIYK94,76911017424,5.44045E+15,Marisela,Mueller,1/1/16,MXP,HNL,LAX,141
VN,SF3,PELI49,1.06615E+11,5.56782E+15,Niesha,Kunde,12/18/15,PEK,BOM,AMS,147
